COUNTRY;YEAR;FISC_RED;MIN_WAGE;UNION_DENS;GDP_PC ;UNEMP;INFLATION;PALMA_RATIO;WEALTH_RICH1_PER;SHARE_POV
aus;2012;0,21;24.434;19.572;68072,87323;5,225;1,762780156;3,2;23,30%;0,53%
aut;2012;0,23;;27.963;48250,40591;4,909;2,485675622;1,8;26,40%;0,27%
can;2012;0,03;20.280;29.284;52670,34473;7,392;1,515678231;3,4;23,50%;0,18%
chl;2012;0,04;2.316.000;14.381;52670,34473;6,562;3,007448402;15,8;47,70%;1,77%
cze;2012;0,19;96.000;14.811;20014,0354;6,979;3,287623066;1,5;24,30%;0,00%
dnk;2012;0,15;;69.01;58443,77471;7,798;2,397914857;2,2;19,50%;0,19%
est;2012;0,23;3.480;6.022;17568,2138;10,021;3,933399873;3,6;31,30%;1,20%
fin;2012;0,21;;69.177;47551,67408;7,689;2,808336226;1,9;17,40%;0,03%
fra;2012;0,22;16.780;9.128;40863,58144;9,841;1,954195316;2,4;23,80%;0,12%
deu;2012;0,22;;18.237;44735,58823;5,372;2,008488848;2,7;26,60%;0,09%
grc;2012;0,23;8.208;;21624,34605;24,731;1,501526962;2,6;17,30%;0,63%
hun;2012;0,27;1.116.000;12.53;12984,83657;11,003;5,652145171;2,1;24,50%;0,32%
irl;2012;0,11;17.992;29.987;49411,73875;15,451;1,694741167;2,3;26,60%;0,19%
isr;2012;0,18;49.200;25.11;33236,57312;6,762;1,679207194;6,4;31,40%;0,92%
ita;2012;0,17;;35.459;35235,79891;10,655;3,041363332;3,5;23,60%;1,22%
jpn;2012;0,15;1.558.960;17.973;49145,28043;4,358;0,04406451;3,8;24,80%;0,49%
kor;2012;0,17;9.516.000;11.566;25459,1689;2,812;2,187071044;;;
ltu;2012;0,16;10.200;9.016;14294,71786;13,365;3,089982771;2,9;23,60%;0,84%
lva;2012;0,15;2.400;12.692;13329,34999;15,047;2,257789244;3;26,20%;
mex;2012;0,15;22.140;14;10744,13352;4,892;4,111509811;22,1;47,60%;7,73%
nld;2012;0,12;17.352;18.847;50473,9442;5,821;2,455547653;1,8;16,40%;0,16%
nor;2012;0,16;28.080;49.927;102175,9193;3,129;0,696864111;1,9;23,10%;0,11%
nzl;2012;0,17;;20.336;39974,29973;6,931;1,059913184;2,3;23,50%;
pol;2012;0,19;18.000;16.984;13087,42094;10,031;3,560371517;2,7;24,90%;1,11%
prt;2012;0,18;5.820;18.9;20593,42742;15,531;2,773338541;2,9;25,30%;
svk;2012;0,21;3.924;13.592;17516,96911;13,966;3,606102635;1,9;15,10%;0,83%
svn;2012;0,02;9.156;;22442,14179;8,841;2,59741386;2;20,30%;0,05%
esp;2012;0,15;7.696,80;17.769;28456,44382;24,789;2,446127824;2,3;22,80%;0,98%
swe;2012;0,09;;62.376;57749,82513;7,976;0,888377507;1,7;26,50%;0,09%
stz;2012;0,11;;16.53;85836,20768;4,491;0,692552018;1,8;28,60%;0,00%
tky;2012;0,14;8.412;;11713,28498;9,21;8,891569965;4,5;30,80%;0,00%
usa;2012;0,11;15.080;10.814;51784,41147;8,069;2,069337265;5,6;36,60%;1,37%
aus;2014;0,14;1814.9;16.347;62544,08738;6,078;2,487922705;3,2;23,40%;0,53%
aut;2014;0,22;;27.716;51314,97226;5,674;1,60581183;2;28,50%;0,03%
can;2014;0,04;1321.9;28.409;50960,84312;7,023;1,906635907;3,4;23,90%;0,12%
chl;2014;0,04;547.9;14.664;14529,67672;6,483;4,718675279;14,4;47,20%;1,36%
cze;2014;0,2;610.3;12.863;20038,41632;6,108;0,34398859;1,5;25,60%;0,00%
dnk;2014;0,18;;68.462;62520,45097;6,925;0,56402054;2,3;20,80%;0,25%
est;2014;0,14;592.7;5.291;20581,7899;7,352;0,10617515;3,2;31,80%;1,20%
fin;2014;0,23;;67.767;50073,77608;8,663;1,041196212;2;18,10%;0,03%
fra;2014; ;1681.3;9.031;43148,04593;10,273;0,507758823;2,3;25,70%;0,12%
deu;2014;0,21;;17.691;48971,08247;4,979;0,906794;3;27,60%;0,14%
grc;2014;0,22;997.2;;21474,72571;26,708;1,31226096;3,1;21,20%;0,63%
hun;2014;0,21;705.6;11.014;14294,25842;7,725;0,22756627;2,2;24,60%;0,10%
irl;2014;0,25;1477.5;26.05;57278,25909;11,858;0,190916399;2,7;27,50%;0,30%
isr;2014;0,1;939.8;;38230,4954;5,789;0,479786761;5,3;29,50%;0,77%
ita;2014;0,18;;35.392;35750,71975;12,683;0,24104743;3,6;25,50%;2,52%
jpn;2014;0,17;1238.3;17.604;38475,39525;3,589;2,759226714;3,8;24,80%;0,50%
kor;2014;0,04;1094.6;12.532;29252,93124;3,082;1,274774464;;;
ltu;2014;0,15;1135,5;8.125;16473,56782;10,698;0,103758009;3,5;24,20%;0,88%
lva;2014;;561.7;12.538;15185,81458;10,846;0,620490637;2,9;26,10%;
mex;2014;0,02;182.3;13.6;11391,37735;4,819;4,018616081;20,5;47,70%;7,42%
nld;2014;0,16;1695.6;18.133;53457,22349;7,419;0,97603508;1,8;16,60%;0,10%
nor;2014;0,11;1.543,00;18.481;44578,22539;5,428;1,227507506;2,1;23,00%;
nzl;2014;0,16;;50.074;97666,69518;3,486;2,041702867;1,8;23,70%;0,11%
pol;2014;0,16;893.9;16.481;14262,28419;8,971;0,053821313;2,8;25,00%;1,19%
prt;2014;0,2;848.2;17.1;22120,68501;13,897;0,27815337;3,1;25,30%;
slk;2014;0,15;645.9;12.164;18770,92899;11,536;0,07616533;1,8;18,80%;0,49%
svn;2014;0,21;1184.5;;24013,06821;9,668;0,199343827;1,9;27,70%;0%
esp;2014;0,18;1011.8;15.807;29694,88749;24,441;0,15111484;2,5;24,40%;1,07%
swe;2014;0,16;;61.766;59583,714;7,954;0,17963849;1,7;28,20%;0,63%
stz;2014;0,08;;16.078;88724,99094;4,826;0,01320254;2;30,50%;0,00%
tky;2014;0,12;;6.944;12165,22014;9,901;8,854572714;5;31,00%;
usa;2014;0,12;1.257,00;10.649;55304,31553;6,168;1,622222977;5,6;36,60%;1,37%
aus;2017;0,12;1926.7;;53901,71454;5,592;1,948647409;3,3;23,30%;0,50%
aut;2017;0,2; ;26.645;47163,74258;5,561;2,081269114;2;29,10%;0,32%
can;2017;0,08;1435.6;28.436;45129,62812;6,426;1,596884129;3,2;23,80%;0,25%
chl;2017;0,03;582.9;17.381;14879,90862;7,257;2,182718469;12,7;46,50%;0,36%
cze;2017;0,18;789.9;11.657;20913,19763;2,893;2,450533985;1,4;25,50%;0%
dnk;2017;0,19;´;66.737;57521,5515;5,833;1,14713217;2,4;21,20%;0,14%
est;2017;0,14;774.9;4.666;20851,52235;5,807;3,417235495;2,7;32,30%;0,27%
fin;2017;0,24; ;62.889;46085,01747;8,64;0,754015047;2,1;18,50%;0,07%
fra;2017;0,24;1745.6;8.996;38687,16264;9,409;1,032282751;2,5;25,70%;0,02%
deu;2017;0,21; ;16.68;59384,98621;3,781;1,509494851;2,9;27,80%;0,24%
grc;2017;0,21;1049.2;;18631,99301;21,413;1,12125452;2,7;23,30%;0,87%
hun;2017;0,19;834,00;;14621,2396;4,156;2,348242812;2,2;33,40%;0,61%
irl;2017;0,25;1584.1;24.148;72.499,33;6,713;0,362173038;2,3;25,00%;0,24%
isr;2017;0,1;1246.4;25.089;40.998;4,14;0,259414975;5,2;28,60%;0,64%
ita;2017;0,19;;33.228;32554,14668;11,211;1,226533166;3,6;22,10%;1,42%
jpn;2017;0,17;1267.3;17.153;38834,05293;2,822;0,484199796;4,2;24,80%;0,73%
kor;2017;0,06;1.363,00;12.436;31600,73587;3,653;1,944332308;;;
ltu;2017;0,14;766.9;7.726;16884,71003;7,073;3,722888623;3,1;23,80%;1,02%
lva;2017;0,13;676.1;11.504;15.132,50;8,715;2,930363124;2,9;29%;0,80%
mex;2017;0,01;226.7;12.5;9649,278168;3,419;6,04145724;18,4;47,90%;1,88%
nld;2017;0,15;1817.7;16.801;49513,68173;4,837;1,381458714;1,9;17,70%;0,19%
nor;2017;0,11;1727.2;18.46;42913,18696;4,736;1,850787675;1,7;24,30%;0,29%
nzl;2017;0,17;;49.98;76.131,84;4,164;1,875100596;2;23,00%;
pol;2017;0,17;1065.8;13.378;13.913,34;4,867;2,075935537;2,8;29,80%;0,35%
prt;2017;0,2;974.3;;21442,38428;8,869;1,368614116;3;26,10%;0,41%
slk;2017;0,16;703.8;11.413;17.645,53;8,142;1,311945882;1,6;16,90%;0,23%
svn;2017;0,21;1240.1;;23.303,08;6,564;1,429107433;1,7;23,30%;0,00%
esp;2017;0,18;1162.3;13.403;28367,93926;17,224;1,956076334;2,4;24,20%;0,68%
swe;2017;0,15;;60.78;53300,85873;6,718;1,794499047;1,7;27,00%;0,25%
stz;2017;0,09;3581.2;14.864;82254,37693;4,797;0,53378784;2;31,50%;0,00%
tky;2017;0,09;;8.561;10.695,55;10,919;11,14431108;4,8;33,70%;0,30%
